year,row_sector,bt_all,exporter_num,importer_num,sector
2006,H,6065.67,8,1,3
2007,G,96416.22,8,1,1
2007,L,18434.23,8,1,2
2007,H,7448.04,8,1,3
2008,G,110992.27,8,1,1
2008,L,14615.46,8,1,2
2008,H,6986.72,8,1,3
2009,G,89070.88,8,1,1
2009,L,11488.87,8,1,2
2009,H,5955.11,8,1,3
2010,G,108483.08,8,1,1
2010,L,12124.27,8,1,2
2010,H,6439.76,8,1,3
2011,G,130551.26,8,1,1
2011,L,15606.22,8,1,2
2011,H,8249.21,8,1,3
1995,G,7898.08,9,1,1
1995,L,1572.10,9,1,2
1995,H,962.09,9,1,3
1996,G,8915.34,9,1,1
1996,L,1985.60,9,1,2
1996,H,1246.73,9,1,3
1997,G,10220.08,9,1,1
1997,L,2494.25,9,1,2
1997,H,1548.06,9,1,3
1998,G,8786.96,9,1,1
1998,L,2104.04,9,1,2
1998,H,1157.88,9,1,3
1999,G,9488.11,9,1,1
1999,L,1449.12,9,1,2
1999,H,1291.38,9,1,3
2000,G,9439.54,9,1,1
2000,L,1799.24,9,1,2
2000,H,1020.79,9,1,3
2001,G,7942.82,9,1,1
2001,L,1529.41,9,1,2
2001,H,1230.74,9,1,3
2002,G,9148.44,9,1,1
2002,L,1458.61,9,1,2
2002,H,1436.24,9,1,3
2003,G,9726.59,9,1,1
2003,L,1637.00,9,1,2
2003,H,2121.38,9,1,3
2004,G,11740.98,9,1,1
2004,L,1861.48,9,1,2
2004,H,2152.82,9,1,3
2005,G,12927.20,9,1,1
2005,L,1957.24,9,1,2
2005,H,2545.82,9,1,3
2006,G,13611.72,9,1,1
2006,L,2015.17,9,1,2
2006,H,2130.40,9,1,3
2007,G,15391.88,9,1,1
2007,L,3181.29,9,1,2
2007,H,3378.85,9,1,3
2008,G,15624.76,9,1,1
2008,L,4129.89,9,1,2
2008,H,3535.91,9,1,3
2009,G,14056.76,9,1,1
2009,L,2936.27,9,1,2
2009,H,3864.99,9,1,3
2010,G,16813.42,9,1,1
2010,L,4570.60,9,1,2
2010,H,5907.77,9,1,3
2011,G,23337.46,9,1,1
2011,L,5381.89,9,1,2
2011,H,7128.09,9,1,3
1995,G,160.38,1,2,1
1995,L,0.20,1,2,2
1995,H,0.00,1,2,3
1996,G,326.56,1,2,1
1996,L,1.04,1,2,2
1996,H,0.00,1,2,3
1997,G,235.93,1,2,1
1997,L,2.32,1,2,2
1997,H,0.00,1,2,3
1998,G,349.97,1,2,1
1998,L,4.25,1,2,2
1998,H,0.00,1,2,3
1999,G,309.22,1,2,1
1999,L,5.61,1,2,2
1999,H,0.00,1,2,3
2000,G,329.07,1,2,1
2000,L,3.62,1,2,2
2000,H,0.00,1,2,3
2001,G,307.34,1,2,1
2001,L,2.51,1,2,2
2001,H,0.00,1,2,3
2002,G,267.09,1,2,1
2002,L,1.96,1,2,2
2002,H,0.00,1,2,3
2003,G,371.87,1,2,1
2003,L,2.18,1,2,2
2003,H,0.00,1,2,3
2004,G,650.59,1,2,1
2004,L,2.45,1,2,2
2004,H,0.00,1,2,3
2005,G,1094.25,1,2,1
2005,L,3.34,1,2,2
2005,H,0.00,1,2,3
2006,G,1026.22,1,2,1
2006,L,4.59,1,2,2
2006,H,0.00,1,2,3
2007,G,893.05,1,2,1
2007,L,8.99,1,2,2
2007,H,0.00,1,2,3
2008,G,917.04,1,2,1
2008,L,7.73,1,2,2
2008,H,0.00,1,2,3
2009,G,722.90,1,2,1
2009,L,8.63,1,2,2
2009,H,0.00,1,2,3
2010,G,1429.01,1,2,1
2010,L,9.52,1,2,2
2010,H,0.00,1,2,3
2011,G,1977.12,1,2,1
2011,L,12.11,1,2,2
2011,H,0.00,1,2,3
1995,G,507685.63,2,2,1
1995,L,436140.31,2,2,2
1995,H,261781.43,2,2,3
1996,G,538963.47,2,2,1
1996,L,494906.10,2,2,2
1996,H,277215.47,2,2,3
1997,G,552972.39,2,2,1
1997,L,524988.96,2,2,2
1997,H,283210.03,2,2,3
1998,G,518434.66,2,2,1
1998,L,521570.62,2,2,2
1998,H,281819.24,2,2,3
1999,G,357909.27,2,2,1
1999,L,362834.41,2,2,2
1999,H,193593.42,2,2,3
2000,G,427768.92,2,2,1
2000,L,403487.79,2,2,2
2000,H,200885.38,2,2,3
2001,G,358073.71,2,2,1
2001,L,351079.11,2,2,2
2001,H,171010.84,2,2,3
2002,G,333703.30,2,2,1
2002,L,324672.73,2,2,2
2002,H,165612.50,2,2,3
2003,G,384931.83,2,2,1
