iso_i,year,mu_GG,mu_LG,mu_HG,mu_GL,mu_LL,mu_HL,mu_GH,mu_LH,mu_HH
BRA,1996,.78628733135144,.136377966192698,.0773347024558619,.4198121255634261,.3700637370925369,.210124137344037,.3181151078454235,.3754867443223225,.306398147832254
BRA,1997,.7816900874368418,.1392217144227933,.0790881981403651,.4109950744564998,.3773147322076992,.2116901933358009,.3136270685431375,.3818256868639978,.3045472445928648
BRA,1998,.769617716248893,.1468867454990928,.0834955382520142,.3911821334861205,.392405030776193,.2164128357376865,.3005629537119194,.3895609975252405,.3098760487628401
BRA,1999,.7687410585583505,.1500139201421854,.0812450212994642,.3934909761323753,.3992729477480963,.2072360761195285,.303412318877886,.3930054033303052,.3035822777918088
BRA,2000,.7784218696506645,.1432910957925376,.0782870345567979,.4067216545777246,.3942729799204505,.1990053655018249,.3121846633804164,.389995220272835,.2978201163467485
BRA,2001,.7823687676522838,.1450112161585195,.0726200161891967,.4023207280958601,.4096417662403983,.1880375056637416,.294910098539338,.4151889972858366,.2899009041748254
BRA,2002,.7828659275037038,.1433276501845586,.0738064223117376,.4064913159523665,.3975817939279049,.1959268901197286,.275292632083554,.443604770156991,.281102597759455
BRA,2003,.7926650754980921,.1391856257739946,.0681492987279134,.428300438740247,.3848880875848467,.1868114736749063,.3156818773701781,.4065608088185968,.277757313811225
BRA,2004,.803698200189168,.1311783785783449,.0651234212324871,.4413936847748368,.3762205770024913,.1823857382226719,.3076564319103312,.4071861247469969,.2851574433426718
BRA,2005,.7965372960947166,.1385538129879084,.064908890917375,.4493324526393913,.3766338413120129,.1740337060485958,.324889689815222,.4221386663473237,.2529716438374542
BRA,2006,.7902789892697499,.1418470148054131,.067873995924837,.4429703142817179,.372633248993742,.1843964367245401,.3238007557084834,.4096280642191765,.2665711800723402
BRA,2007,.7890624461041563,.1423664558012931,.0685710980945505,.4429480365045884,.3776191495268071,.1794328139686044,.3342425036272971,.4073700755757696,.2583874207969332
BRA,2008,.7965323296366688,.1411335945379196,.0623340758254116,.4424339686806502,.3822583728243981,.1753076584949517,.3469385531080676,.3938967429573456,.2591647039345867
BRA,2009,.7702372185004495,.1561601585500917,.0736026229494587,.4207637936266238,.3938645310559383,.185371675317438,.3261286375905187,.4089586395560564,.2649127228534249
BRA,2010,.7730401653423945,.1544997104294079,.0724601242281976,.4254739441164865,.3912918691328316,.1832341867506819,.3329653239740637,.4049626783754045,.2620719976505319
BRA,2011,.7664316019300156,.1602693465587,.0732990515112845,.4114374370200521,.398365028387987,.190197534591961,.3177962030035499,.4141462328580596,.2680575641383906
CHN,1995,.8512085113733258,.1115073116793799,.0372841769472944,.6278553637855185,.2672593707462239,.1048852654682575,.5643974705558744,.2851655173707094,.1504370120734163
CHN,1996,.8530715467472731,.1074335829780188,.039494870274708,.6286193899637638,.2670120537650215,.1043685562712148,.5389305799248084,.2963890116655656,.1646804084096261
CHN,1997,.8443578970475498,.1109561217507853,.044685981201665,.6115211699448115,.2767319196385087,.1117469104166798,.5141055181361616,.3096839296028447,.1762105522609938
CHN,1998,.8360708164191812,.1163685526974595,.0475606308833592,.6036865049852065,.2888081983256006,.1075052966891929,.4864999719671593,.349387664108013,.1641123639248277
CHN,1999,.8276539968484227,.1228856513158787,.0494603518356986,.6046261199055254,.2929419210815243,.1024319590129504,.4729883260356257,.3728657840864388,.1541458898779354
CHN,2000,.8228835862739471,.1273144864797676,.0498019272462853,.6090997597608879,.2928090038160083,.0980912364231039,.4669857712993137,.3883394533932816,.1446747753074047
CHN,2001,.8182188287255712,.1319925845349527,.0497885867394761,.6130212815271343,.292152817391798,.0948259010810677,.4694287363378568,.3954790477417438,.1350922159203995
CHN,2002,.8168238077163822,.1353431617434427,.0478330305401752,.6196443469541975,.2894533037418927,.0909023493039098,.4767897292986753,.3973491923454768,.1258610783558478
CHN,2003,.8334751931937434,.1208183573580061,.0457064494482506,.5952238561653226,.313013519456473,.0917626243782045,.4789665544556033,.3803814027982796,.1406520427461171
CHN,2004,.8384267861077443,.1167500753620987,.044823138530157,.5748044236018434,.3362449009291575,.0889506754689991,.479881579088927,.371215381626445,.148903039284628
CHN,2005,.8457601549386687,.1093846414650274,.0448552035963039,.5698890841117085,.3423374976648806,.0877734182234109,.4924187658812937,.3522199361756042,.1553612979431021
CHN,2006,.8587325007128565,.0975491608669906,.0437183384201529,.5834290745137788,.324074336093773,.0924965893924483,.5059708840379334,.3323904700169627,.1616386459451038
