iso_i,code,year,ppi_i
AUS,52,2003,105.6238512
AUS,52,2004,106.1694014
AUS,52,2005,109.2961363
AUS,52,2006,113.4495679
AUS,52,2007,120.5768276
AUS,52,2008,123.9627966
AUS,52,2009,129.7141954
AUS,52,2010,.
AUS,52,2011,.
AUS,H,1995,100
AUS,H,1996,96.7102671
AUS,H,1997,98.31236606
AUS,H,1998,100.261657
AUS,H,1999,102.961452
AUS,H,2000,107.5220141
AUS,H,2001,110.5642957
AUS,H,2002,114.5934136
AUS,H,2003,119.3066124
AUS,H,2004,122.8750188
AUS,H,2005,119.8888956
AUS,H,2006,126.7961126
AUS,H,2007,133.7879614
AUS,H,2008,138.7814895
AUS,H,2009,145.6298537
AUS,H,2010,.
AUS,H,2011,.
AUS,60,1995,100
AUS,60,1996,99.83726117
AUS,60,1997,95.14386717
AUS,60,1998,93.45069846
AUS,60,1999,91.05802761
AUS,60,2000,96.83836712
AUS,60,2001,99.17152266
AUS,60,2002,100.9583994
AUS,60,2003,104.3288379
AUS,60,2004,110.030438
AUS,60,2005,110.6897593
AUS,60,2006,124.932547
AUS,60,2007,127.8659624
AUS,60,2008,127.5971414
AUS,60,2009,138.824586
AUS,60,2010,.
AUS,60,2011,.
AUS,61,1995,100
AUS,61,1996,104.2109913
AUS,61,1997,118.370759
AUS,61,1998,111.9498007
AUS,61,1999,110.9453275
AUS,61,2000,116.0052529
AUS,61,2001,114.4597847
AUS,61,2002,101.3232841
AUS,61,2003,107.3041867
AUS,61,2004,116.6161761
AUS,61,2005,123.5531518
AUS,61,2006,124.932547
AUS,61,2007,127.8659624
AUS,61,2008,127.5971414
AUS,61,2009,138.824586
AUS,61,2010,.
AUS,61,2011,.
AUS,62,1995,100
AUS,62,1996,96.70929094
AUS,62,1997,99.26726884
AUS,62,1998,102.8409821
AUS,62,1999,104.0254948
AUS,62,2000,105.6855454
AUS,62,2001,101.3032976
AUS,62,2002,104.3467589
AUS,62,2003,104.4913831
AUS,62,2004,106.4865235
AUS,62,2005,106.0048103
AUS,62,2006,124.932547
AUS,62,2007,127.8659624
AUS,62,2008,127.5971414
AUS,62,2009,138.824586
AUS,62,2010,.
AUS,62,2011,.
AUS,63,1995,100
AUS,63,1996,100.5030944
AUS,63,1997,99.84122277
AUS,63,1998,101.7716284
AUS,63,1999,102.1150585
AUS,63,2000,104.4541338
AUS,63,2001,105.2995962
AUS,63,2002,107.267068
AUS,63,2003,110.555914
AUS,63,2004,113.5951479
AUS,63,2005,120.352416
AUS,63,2006,124.932547
AUS,63,2007,127.8659624
AUS,63,2008,127.5971414
AUS,63,2009,138.824586
AUS,63,2010,.
AUS,63,2011,.
AUS,64,1995,100
AUS,64,1996,97.4407482
AUS,64,1997,95.61676306
AUS,64,1998,91.9886969
AUS,64,1999,93.28399655
AUS,64,2000,95.12896417
AUS,64,2001,94.51111619
AUS,64,2002,90.57359195
AUS,64,2003,90.31461238
AUS,64,2004,91.06792284
AUS,64,2005,83.90285355
AUS,64,2006,83.46474857
AUS,64,2007,80.18889094
AUS,64,2008,79.91859521
AUS,64,2009,84.23798185
AUS,64,2010,.
AUS,64,2011,.
AUS,J,1995,100
AUS,J,1996,101.8771715
AUS,J,1997,101.7657319
AUS,J,1998,98.32457744
AUS,J,1999,102.9770062
AUS,J,2000,110.0937761
AUS,J,2001,115.7023788
AUS,J,2002,117.1205306
AUS,J,2003,121.1814102
AUS,J,2004,124.3182411
AUS,J,2005,129.5903927
AUS,J,2006,146.94593
AUS,J,2007,147.7415406
AUS,J,2008,157.9579878
AUS,J,2009,157.6168205
AUS,J,2010,.
AUS,J,2011,.
AUS,70,1995,100
AUS,70,1996,107.0054721
AUS,70,1997,110.9802215
AUS,70,1998,110.5848826
AUS,70,1999,112.6915724
AUS,70,2000,114.8188893
AUS,70,2001,116.8128887
AUS,70,2002,119.2382342
AUS,70,2003,122.3472584
AUS,70,2004,125.8815588
AUS,70,2005,129.2730488
AUS,70,2006,135.0164478
AUS,70,2007,152.0413646
AUS,70,2008,171.4356181
AUS,70,2009,162.0101631
AUS,70,2010,.
AUS,70,2011,.
AUS,71t74,1995,100
AUS,71t74,1996,101.7512134
AUS,71t74,1997,101.7203624
AUS,71t74,1998,105.3766959
AUS,71t74,1999,106.9827132
AUS,71t74,2000,111.752135
AUS,71t74,2001,110.9527074
AUS,71t74,2002,116.4531748
AUS,71t74,2003,121.6228524
AUS,71t74,2004,128.1202171
AUS,71t74,2005,129.460555
AUS,71t74,2006,138.9929935
AUS,71t74,2007,151.9420979
AUS,71t74,2008,162.8598747
AUS,71t74,2009,171.7997847
AUS,71t74,2010,.
AUS,71t74,2011,.
AUS,L,1995,100
AUS,L,1996,100.2844544
AUS,L,1997,101.4115911
AUS,L,1998,104.0796059
AUS,L,1999,104.3421348
AUS,L,2000,111.3570891
AUS,L,2001,114.7592243
AUS,L,2002,122.7711051
AUS,L,2003,126.3745279
AUS,L,2004,130.8685069
AUS,L,2005,139.6513287
AUS,L,2006,143.3248715
AUS,L,2007,146.6798737
AUS,L,2008,150.9706085
AUS,L,2009,153.0739305
AUS,L,2010,.
AUS,L,2011,.
AUS,M,1995,100
AUS,M,1996,102.7462916
AUS,M,1997,105.8612659
AUS,M,1998,109.3567303
AUS,M,1999,111.053322
AUS,M,2000,116.1205005
AUS,M,2001,119.9623315
AUS,M,2002,127.8456751
AUS,M,2003,133.3477907
AUS,M,2004,142.2601839
AUS,M,2005,155.0117971
AUS,M,2006,162.6410493
AUS,M,2007,166.1346596
AUS,M,2008,168.4218232
AUS,M,2009,176.2788392
AUS,M,2010,.
AUS,M,2011,.
AUS,N,1995,100
AUS,N,1996,101.7191332
AUS,N,1997,102.401972
AUS,N,1998,106.3971013
AUS,N,1999,108.6361176
AUS,N,2000,113.1399836
AUS,N,2001,114.5605239
AUS,N,2002,121.1122137
AUS,N,2003,126.7458632
AUS,N,2004,133.1072387
AUS,N,2005,141.6930217
AUS,N,2006,148.5630506
AUS,N,2007,152.3355516
AUS,N,2008,159.0960183
AUS,N,2009,159.5493105
AUS,N,2010,.
AUS,N,2011,.
AUS,O,1995,100
AUS,O,1996,100.3939975
AUS,O,1997,102.3183321
AUS,O,1998,104.734463
AUS,O,1999,100.6671401
AUS,O,2000,107.1969407
AUS,O,2001,109.0367186
AUS,O,2002,114.3207076
AUS,O,2003,115.0111317
AUS,O,2004,118.2323589
AUS,O,2005,119.0861452
AUS,O,2006,119.9121047
AUS,O,2007,124.7408017
AUS,O,2008,131.5458027
AUS,O,2009,127.0674696
AUS,O,2010,.
AUS,O,2011,.
AUS,P,1995,NA
AUS,P,1996,NA
AUS,P,1997,NA
AUS,P,1998,NA
AUS,P,1999,NA
AUS,P,2000,NA
AUS,P,2001,NA
AUS,P,2002,NA
AUS,P,2003,NA
AUS,P,2004,NA
AUS,P,2005,NA
AUS,P,2006,NA
AUS,P,2007,NA
AUS,P,2008,NA
AUS,P,2009,NA
AUS,P,2010,.
AUS,P,2011,.
AUT,AtB,1995,100
AUT,AtB,1996,97.72675017
AUT,AtB,1997,99.26124379
AUT,AtB,1998,96.93601112
AUT,AtB,1999,95.88335849
AUT,AtB,2000,99.96701089
AUT,AtB,2001,104.6164766
AUT,AtB,2002,104.5464997
AUT,AtB,2003,104.5265063
AUT,AtB,2004,103.8707227
AUT,AtB,2005,100.4478522
AUT,AtB,2006,107.3795647
AUT,AtB,2007,115.1370048
AUT,AtB,2008,113.7004788
AUT,AtB,2009,106.687793
AUT,AtB,2010,.
AUT,AtB,2011,.
AUT,C,1995,100
AUT,C,1996,102.303874
AUT,C,1997,104.8017345
AUT,C,1998,104.2654191
AUT,C,1999,106.7758316
AUT,C,2000,114.1096594
AUT,C,2001,113.8666058
AUT,C,2002,114.6653734
AUT,C,2003,114.9152736
AUT,C,2004,119.1578707
AUT,C,2005,124.2825355
AUT,C,2006,131.3938495
AUT,C,2007,129.2702687
AUT,C,2008,144.8610715
AUT,C,2009,132.7688709
AUT,C,2010,.
AUT,C,2011,.
AUT,15t16,1995,100
AUT,15t16,1996,101.5689319
AUT,15t16,1997,101.2941645
AUT,15t16,1998,102.8222388
AUT,15t16,1999,100.6853863
AUT,15t16,2000,102.1440026
AUT,15t16,2001,104.4442856
AUT,15t16,2002,104.0581812
AUT,15t16,2003,104.3257985
AUT,15t16,2004,105.4299752
AUT,15t16,2005,105.6240488
AUT,15t16,2006,107.3196392
AUT,15t16,2007,112.0131561
AUT,15t16,2008,118.8608901
AUT,15t16,2009,117.6331192
AUT,15t16,2010,.
AUT,15t16,2011,.
AUT,17t18,1995,100
AUT,17t18,1996,100.5105806
AUT,17t18,1997,99.21019566
AUT,17t18,1998,100.4188356
AUT,17t18,1999,100.4986139
AUT,17t18,2000,99.7227707
AUT,17t18,2001,100.8516325
AUT,17t18,2002,101.0740142
AUT,17t18,2003,99.21817348
AUT,17t18,2004,98.86116596
AUT,17t18,2005,99.37473823
AUT,17t18,2006,98.60388121
AUT,17t18,2007,100.9254273
AUT,17t18,2008,101.6873093
AUT,17t18,2009,102.4581663
AUT,17t18,2010,.
AUT,17t18,2011,.
AUT,19,1995,100
AUT,19,1996,99.94113781
AUT,19,1997,99.09352222
AUT,19,1998,100.7809051
AUT,19,1999,98.28711016
AUT,19,2000,98.10365632
AUT,19,2001,103.9398428
AUT,19,2002,104.6069477
AUT,19,2003,103.5709731
AUT,19,2004,102.5310743
AUT,19,2005,107.0948564
AUT,19,2006,107.8002217
AUT,19,2007,107.942472
AUT,19,2008,106.062806
AUT,19,2009,100.5572288
AUT,19,2010,.
AUT,19,2011,.
AUT,20,1995,100
AUT,20,1996,99.11993785
AUT,20,1997,100.6613243
AUT,20,1998,100.9873868
AUT,20,1999,101.7734121
AUT,20,2000,102.2139542
AUT,20,2001,101.1253756
AUT,20,2002,100.8003353
AUT,20,2003,101.0425823
AUT,20,2004,102.0718769
AUT,20,2005,104.1928164
AUT,20,2006,107.4432201
AUT,20,2007,114.452031
AUT,20,2008,114.5879756
AUT,20,2009,114.3886583
AUT,20,2010,.
AUT,20,2011,.
AUT,21t22,1995,100
AUT,21t22,1996,97.69515952
AUT,21t22,1997,97.61683463
AUT,21t22,1998,100.6130228
AUT,21t22,1999,100.7216333
AUT,21t22,2000,104.4331889
AUT,21t22,2001,106.2889666
AUT,21t22,2002,107.957809
AUT,21t22,2003,107.9588533
AUT,21t22,2004,106.2273511
AUT,21t22,2005,105.78351
AUT,21t22,2006,105.6540128
AUT,21t22,2007,106.0915879
AUT,21t22,2008,107.1129445
AUT,21t22,2009,104.074983
AUT,21t22,2010,.
AUT,21t22,2011,.
AUT,23,1995,100
AUT,23,1996,110.0060711
AUT,23,1997,112.7437277
AUT,23,1998,98.03605969
AUT,23,1999,104.3161506
AUT,23,2000,141.1890946
AUT,23,2001,132.5497339
AUT,23,2002,127.0786564
AUT,23,2003,129.3263868
AUT,23,2004,142.8904231
AUT,23,2005,165.8576532
AUT,23,2006,181.5409378
AUT,23,2007,179.0743643
AUT,23,2008,214.0765527
AUT,23,2009,152.7510695
AUT,23,2010,.
AUT,23,2011,.
AUT,24,1995,100
AUT,24,1996,94.71536086
AUT,24,1997,96.84388267
AUT,24,1998,97.53377074
AUT,24,1999,94.7944809
AUT,24,2000,96.48784253
AUT,24,2001,97.81165573
AUT,24,2002,97.90910845
AUT,24,2003,99.05055963
AUT,24,2004,100.1370127
AUT,24,2005,101.5100347
AUT,24,2006,106.1655731
AUT,24,2007,107.9814743
AUT,24,2008,111.4145118
AUT,24,2009,109.8687765
AUT,24,2010,.
AUT,24,2011,.
AUT,25,1995,100
AUT,25,1996,99.83725809
AUT,25,1997,98.39120802
AUT,25,1998,95.21185859
AUT,25,1999,96.88241407
AUT,25,2000,98.03729339
AUT,25,2001,99.22256426
AUT,25,2002,102.152899
AUT,25,2003,103.5342444
AUT,25,2004,104.787161
AUT,25,2005,107.0528029
AUT,25,2006,109.4782455
AUT,25,2007,113.3291504
AUT,25,2008,116.1104684
AUT,25,2009,115.1497029
AUT,25,2010,.
AUT,25,2011,.
AUT,26,1995,100
AUT,26,1996,100.7383135
AUT,26,1997,99.44108009
AUT,26,1998,100.556846
AUT,26,1999,102.1589448
AUT,26,2000,103.6957153
AUT,26,2001,103.8118545
AUT,26,2002,105.7779253
AUT,26,2003,108.8431706
AUT,26,2004,112.7670165
AUT,26,2005,115.7088639
AUT,26,2006,118.707744
AUT,26,2007,122.8441661
AUT,26,2008,127.6950516
AUT,26,2009,130.3942511
AUT,26,2010,.
AUT,26,2011,.
AUT,27t28,1995,100
AUT,27t28,1996,98.38812365
AUT,27t28,1997,97.95761624
AUT,27t28,1998,100.875163
AUT,27t28,1999,97.14611988
AUT,27t28,2000,101.0580781
AUT,27t28,2001,104.3545926
AUT,27t28,2002,104.5829838
AUT,27t28,2003,108.0947521
AUT,27t28,2004,114.299718
AUT,27t28,2005,120.4672926
AUT,27t28,2006,125.8546987
AUT,27t28,2007,129.7555405
AUT,27t28,2008,136.0676281
AUT,27t28,2009,128.0223945
AUT,27t28,2010,.
AUT,27t28,2011,.
AUT,29,1995,100
AUT,29,1996,100.8535104
AUT,29,1997,101.7572889
AUT,29,1998,102.0829842
AUT,29,1999,103.2559065
AUT,29,2000,104.7252011
AUT,29,2001,107.3998827
AUT,29,2002,107.833445
AUT,29,2003,108.1444789
AUT,29,2004,110.2389829
AUT,29,2005,112.8686327
AUT,29,2006,112.3313924
AUT,29,2007,116.26906
AUT,29,2008,118.5143683
AUT,29,2009,120.4936746
AUT,29,2010,.
AUT,29,2011,.
AUT,30t33,1995,100
AUT,30t33,1996,100.6291405
AUT,30t33,1997,101.68118
AUT,30t33,1998,102.129078
AUT,30t33,1999,103.0050831
AUT,30t33,2000,104.1623266
AUT,30t33,2001,103.5581851
AUT,30t33,2002,102.4707304
AUT,30t33,2003,101.4686888
AUT,30t33,2004,101.2864047
AUT,30t33,2005,102.7707179
AUT,30t33,2006,103.6071414
AUT,30t33,2007,103.5550602
AUT,30t33,2008,103.8925461
AUT,30t33,2009,103.5488105
AUT,30t33,2010,.
AUT,30t33,2011,.
AUT,34t35,1995,100
AUT,34t35,1996,101.7142438
AUT,34t35,1997,103.2609379
AUT,34t35,1998,103.5866128
AUT,34t35,1999,103.7970972
AUT,34t35,2000,104.7186211
AUT,34t35,2001,106.6255472
AUT,34t35,2002,99.66280604
AUT,34t35,2003,99.77694934
AUT,34t35,2004,101.0073931
AUT,34t35,2005,102.3331309
AUT,34t35,2006,103.0661612
AUT,34t35,2007,103.976166
AUT,34t35,2008,104.0693656
AUT,34t35,2009,109.1922006
AUT,34t35,2010,.
AUT,34t35,2011,.
AUT,36t37,1995,100
AUT,36t37,1996,99.29341763
AUT,36t37,1997,100.5588612
AUT,36t37,1998,101.0454113
AUT,36t37,1999,101.3976695
AUT,36t37,2000,103.3015165
AUT,36t37,2001,105.0679724
AUT,36t37,2002,104.905789
AUT,36t37,2003,105.1475146
AUT,36t37,2004,106.2197843
AUT,36t37,2005,108.4686583
AUT,36t37,2006,109.943804
AUT,36t37,2007,110.2134209
AUT,36t37,2008,112.0377257
AUT,36t37,2009,114.5624148
AUT,36t37,2010,.
AUT,36t37,2011,.
AUT,E,1995,100
AUT,E,1996,101.3192276
AUT,E,1997,98.24649253
AUT,E,1998,96.75610222
AUT,E,1999,93.48489125
AUT,E,2000,91.04400157
AUT,E,2001,88.80887133
AUT,E,2002,87.1200051
AUT,E,2003,89.91232463
AUT,E,2004,89.09930169
AUT,E,2005,95.92122873
AUT,E,2006,105.168568
AUT,E,2007,113.5100194
AUT,E,2008,121.5528465
AUT,E,2009,120.1289183
AUT,E,2010,.
AUT,E,2011,.
AUT,F,1995,100
AUT,F,1996,102.4045032
AUT,F,1997,104.4131364
AUT,F,1998,105.8534522
AUT,F,1999,106.9716492
AUT,F,2000,108.4575172
AUT,F,2001,110.3392551
AUT,F,2002,111.5051734
AUT,F,2003,112.9346435
AUT,F,2004,115.7122405
AUT,F,2005,118.598295
AUT,F,2006,122.0374829
AUT,F,2007,126.8996334
AUT,F,2008,132.9949459
AUT,F,2009,137.0696948
AUT,F,2010,.
AUT,F,2011,.
AUT,50,1995,100
AUT,50,1996,102.4393356
AUT,50,1997,102.9986602
AUT,50,1998,102.7083643
AUT,50,1999,103.6100891
AUT,50,2000,106.3354671
AUT,50,2001,108.6812275
AUT,50,2002,110.8876885
AUT,50,2003,114.2244954
AUT,50,2004,117.4049893
AUT,50,2005,119.5997533
AUT,50,2006,123.5639395
AUT,50,2007,127.2729206
AUT,50,2008,132.3685162
AUT,50,2009,135.3108186
AUT,50,2010,.
AUT,50,2011,.
AUT,51,1995,100
AUT,51,1996,99.54656508
AUT,51,1997,100.1200878
AUT,51,1998,100.0683258
AUT,51,1999,99.8167626
AUT,51,2000,103.5239554
AUT,51,2001,104.3438652
AUT,51,2002,103.396621
AUT,51,2003,104.5602302
AUT,51,2004,108.7767609
AUT,51,2005,111.7209822
AUT,51,2006,115.0275374
AUT,51,2007,117.8402832
AUT,51,2008,124.0610377
AUT,51,2009,117.1642718
AUT,51,2010,.
AUT,51,2011,.
AUT,52,1995,100
AUT,52,1996,100.0184211
AUT,52,1997,100.1524858
AUT,52,1998,100.9742719
AUT,52,1999,100.8412305
AUT,52,2000,102.3394805
AUT,52,2001,104.0628774
AUT,52,2002,104.9470905
