iso_i,code,year,k_ppi
AUS,50,2011,.
AUS,51,1995,100
AUS,51,1996,95.1036012
AUS,51,1997,92.13163447
AUS,51,1998,90.37071523
AUS,51,1999,85.63941949
AUS,51,2000,82.02543969
AUS,51,2001,78.45601895
AUS,51,2002,70.66470514
AUS,51,2003,62.069206
AUS,51,2004,59.3254664
AUS,51,2005,54.27059486
AUS,51,2006,49.65737263
AUS,51,2007,42.24803785
AUS,51,2008,43.11273673
AUS,51,2009,42.42774021
AUS,51,2010,.
AUS,51,2011,.
AUS,52,1995,100
AUS,52,1996,93.73045547
AUS,52,1997,89.87079785
AUS,52,1998,88.04442719
AUS,52,1999,83.35606401
AUS,52,2000,81.09326071
AUS,52,2001,78.35954038
AUS,52,2002,68.97382126
AUS,52,2003,58.70128428
AUS,52,2004,54.73795036
AUS,52,2005,49.14310165
AUS,52,2006,44.49778993
AUS,52,2007,37.63414807
AUS,52,2008,38.40441357
AUS,52,2009,37.79422522
AUS,52,2010,.
AUS,52,2011,.
AUS,H,1995,100
AUS,H,1996,97.83022688
AUS,H,1997,96.56249736
AUS,H,1998,97.33802397
AUS,H,1999,94.62290428
AUS,H,2000,91.66221922
AUS,H,2001,93.07641567
AUS,H,2002,95.08376746
AUS,H,2003,91.2883769
AUS,H,2004,90.38378099
AUS,H,2005,88.16971881
AUS,H,2006,85.76627414
AUS,H,2007,78.40972702
AUS,H,2008,80.0145543
AUS,H,2009,78.74324342
AUS,H,2010,.
AUS,H,2011,.
AUS,60,1995,100
AUS,60,1996,97.50628614
AUS,60,1997,98.35175919
AUS,60,1998,100.0952576
AUS,60,1999,96.77163735
AUS,60,2000,96.07530964
AUS,60,2001,97.17109336
AUS,60,2002,97.20235826
AUS,60,2003,89.64623838
AUS,60,2004,89.08113507
AUS,60,2005,86.17933337
AUS,60,2006,81.75884349
AUS,60,2007,73.73782333
AUS,60,2008,75.24702984
AUS,60,2009,74.05146775
AUS,60,2010,.
AUS,60,2011,.
AUS,61,1995,100
AUS,61,1996,97.50628614
AUS,61,1997,98.35175919
AUS,61,1998,100.0952576
AUS,61,1999,96.77163735
AUS,61,2000,96.07530964
AUS,61,2001,97.17109336
AUS,61,2002,97.20235826
AUS,61,2003,89.64623838
AUS,61,2004,89.08113507
AUS,61,2005,86.17933337
AUS,61,2006,81.75884349
AUS,61,2007,73.73782333
AUS,61,2008,75.24702984
AUS,61,2009,74.05146775
AUS,61,2010,.
AUS,61,2011,.
AUS,62,1995,100
AUS,62,1996,97.50628614
AUS,62,1997,98.35175919
AUS,62,1998,100.0952576
AUS,62,1999,96.77163735
AUS,62,2000,96.07530964
AUS,62,2001,97.17109336
AUS,62,2002,97.20235826
AUS,62,2003,89.64623838
AUS,62,2004,89.08113507
AUS,62,2005,86.17933337
AUS,62,2006,81.75884349
AUS,62,2007,73.73782333
AUS,62,2008,75.24702984
AUS,62,2009,74.05146775
AUS,62,2010,.
AUS,62,2011,.
AUS,63,1995,100
AUS,63,1996,97.50628614
AUS,63,1997,98.35175919
AUS,63,1998,100.0952576
AUS,63,1999,96.77163735
AUS,63,2000,96.07530964
AUS,63,2001,97.17109336
AUS,63,2002,97.20235826
AUS,63,2003,89.64623838
AUS,63,2004,89.08113507
AUS,63,2005,86.17933337
AUS,63,2006,81.75884349
AUS,63,2007,73.73782333
AUS,63,2008,75.24702984
AUS,63,2009,74.05146775
AUS,63,2010,.
AUS,63,2011,.
AUS,64,1995,100
