iso_i,Code,year,real_k
AUS,F,1998,29619.38484
AUS,F,1999,31077.68335
AUS,F,2000,32685.65017
AUS,F,2001,34488.78927
AUS,F,2002,36666.83413
AUS,F,2003,39434.90617
AUS,F,2004,43111.84783
AUS,F,2005,47412.00691
AUS,F,2006,52450.8752
AUS,F,2007,60228.34959
AUS,F,2008,68008.4715
AUS,F,2009,75695.24742
AUS,F,2010,.
AUS,F,2011,.
AUS,50,1995,30716.34133
AUS,50,1996,30332.62615
AUS,50,1997,30335.88432
AUS,50,1998,30518.8642
AUS,50,1999,30958.38996
AUS,50,2000,31347.10533
AUS,50,2001,31888.17867
AUS,50,2002,33084.85058
AUS,50,2003,35134.86386
AUS,50,2004,38376.85143
AUS,50,2005,42519.55999
AUS,50,2006,47144.22491
AUS,50,2007,53915.706
AUS,50,2008,60631.62297
AUS,50,2009,67206.082
AUS,50,2010,.
AUS,50,2011,.
AUS,51,1995,40380.30202
AUS,51,1996,41279.82233
AUS,51,1997,42766.20918
AUS,51,1998,44567.95281
AUS,51,1999,46512.25198
AUS,51,2000,48149.11485
AUS,51,2001,50287.28635
AUS,51,2002,53694.5441
AUS,51,2003,58258.57043
AUS,51,2004,64893.88884
AUS,51,2005,73138.24034
AUS,51,2006,82085.35587
AUS,51,2007,94563.11549
AUS,51,2008,107037.8622
AUS,51,2009,119356.6861
AUS,51,2010,.
AUS,51,2011,.
AUS,52,1995,38522.8294
AUS,52,1996,39068.16675
AUS,52,1997,40112.41849
AUS,52,1998,41312.23138
AUS,52,1999,43187.61048
AUS,52,2000,45034.40124
AUS,52,2001,47124.0315
AUS,52,2002,50378.31545
AUS,52,2003,54529.21165
AUS,52,2004,60037.1682
AUS,52,2005,66923.72663
AUS,52,2006,74643.92887
AUS,52,2007,85714.6366
AUS,52,2008,96815.12196
AUS,52,2009,107809.6724
AUS,52,2010,.
AUS,52,2011,.
AUS,H,1995,10198.98851
AUS,H,1996,12037.53484
AUS,H,1997,13749.56206
AUS,H,1998,15971.22525
AUS,H,1999,17918.47861
AUS,H,2000,19352.25199
AUS,H,2001,20992.74612
AUS,H,2002,23062.51647
AUS,H,2003,25252.9603
AUS,H,2004,27650.89726
AUS,H,2005,30453.23685
AUS,H,2006,33267.35207
AUS,H,2007,36668.25499
AUS,H,2008,40085.17344
AUS,H,2009,43469.62125
AUS,H,2010,.
AUS,H,2011,.
AUS,60,1995,45565.54696
AUS,60,1996,48491.78559
AUS,60,1997,50920.88747
AUS,60,1998,53300.85262
AUS,60,1999,56283.72423
AUS,60,2000,58916.78015
AUS,60,2001,62497.00385
AUS,60,2002,67513.64723
AUS,60,2003,73913.2476
AUS,60,2004,81081.88638
AUS,60,2005,89673.58571
AUS,60,2006,99652.54129
AUS,60,2007,113134.1083
AUS,60,2008,126639.1594
AUS,60,2009,139996.3439
AUS,60,2010,.
AUS,60,2011,.
AUS,61,1995,3007.701124
AUS,61,1996,3220.667563
AUS,61,1997,3405.325824
AUS,61,1998,3556.859161
AUS,61,1999,3698.454118
AUS,61,2000,3842.630047
AUS,61,2001,3998.346571
AUS,61,2002,4235.377205
AUS,61,2003,4626.894977
AUS,61,2004,5038.755545
AUS,61,2005,5534.075858
AUS,61,2006,6111.073073
AUS,61,2007,6891.419662
AUS,61,2008,7676.180806
AUS,61,2009,8455.382247
AUS,61,2010,.
AUS,61,2011,.
AUS,62,1995,12889.61193
AUS,62,1996,13457.05716
AUS,62,1997,13785.91986
AUS,62,1998,14491.5054
AUS,62,1999,15072.98144
AUS,62,2000,15483.63534
AUS,62,2001,16057.70829
AUS,62,2002,17238.88532
AUS,62,2003,18793.94076
AUS,62,2004,20685.09421
AUS,62,2005,22974.26806
AUS,62,2006,25642.64199
AUS,62,2007,29321.87537
AUS,62,2008,32939.26123
AUS,62,2009,36448.10324
AUS,62,2010,.
AUS,62,2011,.
AUS,63,1995,35691.13666
AUS,63,1996,37609.54543
AUS,63,1997,39219.84655
AUS,63,1998,40957.64982
AUS,63,1999,43053.85364
AUS,63,2000,44647.92858
AUS,63,2001,46677.49011
AUS,63,2002,50009.06251
AUS,63,2003,54388.55787
AUS,63,2004,59057.29414
AUS,63,2005,64764.23113
AUS,63,2006,71469.50869
AUS,63,2007,80747.44787
AUS,63,2008,89956.21023
AUS,63,2009,98972.75119
AUS,63,2010,.
AUS,63,2011,.
AUS,64,1995,22886.45966
AUS,64,1996,28056.2613
AUS,64,1997,31486.91827
AUS,64,1998,35424.33918
AUS,64,1999,40936.91347
AUS,64,2000,45891.27896
AUS,64,2001,50281.99799
AUS,64,2002,55197.22988
AUS,64,2003,60449.48915
AUS,64,2004,67435.41797
AUS,64,2005,73468.98775
AUS,64,2006,81583.5242
AUS,64,2007,93581.87313
AUS,64,2008,105463.3929
AUS,64,2009,117077.2399
AUS,64,2010,.
AUS,64,2011,.
AUS,J,1995,30085.31872
AUS,J,1996,32275.06505
AUS,J,1997,34917.63136
AUS,J,1998,38364.42555
AUS,J,1999,43340.36328
AUS,J,2000,48729.73136
AUS,J,2001,53921.55917
AUS,J,2002,60532.85439
AUS,J,2003,69319.83433
AUS,J,2004,80808.66348
AUS,J,2005,95213.00287
AUS,J,2006,112588.2809
AUS,J,2007,135113.3768
AUS,J,2008,157316.7228
AUS,J,2009,178946.1153
AUS,J,2010,.
AUS,J,2011,.
AUS,70,1995,1197895.216
AUS,70,1996,1149685.719
AUS,70,1997,1110754.199
AUS,70,1998,1076666.221
AUS,70,1999,1050425.897
AUS,70,2000,1016698.458
AUS,70,2001,991668.1882
AUS,70,2002,976409.0921
AUS,70,2003,965426.8499
AUS,70,2004,956072.6505
AUS,70,2005,947522.7384
AUS,70,2006,942512.8085
AUS,70,2007,942178.2205
AUS,70,2008,944231.9021
AUS,70,2009,947956.5828
AUS,70,2010,.
AUS,70,2011,.
AUS,71t74,1995,27399.31781
AUS,71t74,1996,33103.78965
AUS,71t74,1997,40050.38039
AUS,71t74,1998,46458.4625
AUS,71t74,1999,54106.44567
AUS,71t74,2000,62535.19457
AUS,71t74,2001,70309.57946
AUS,71t74,2002,78275.39737
AUS,71t74,2003,88699.2944
AUS,71t74,2004,102128.2939
AUS,71t74,2005,119731.0132
AUS,71t74,2006,140857.026
AUS,71t74,2007,169688.2835
AUS,71t74,2008,198099.5049
AUS,71t74,2009,225770.3627
AUS,71t74,2010,.
AUS,71t74,2011,.
AUS,L,1995,128245.1196
AUS,L,1996,116215.9995
AUS,L,1997,105089.9777
AUS,L,1998,96812.73543
AUS,L,1999,91647.65167
AUS,L,2000,85564.38965
AUS,L,2001,81781.25889
AUS,L,2002,80529.11153
AUS,L,2003,81096.13682
AUS,L,2004,82630.78763
AUS,L,2005,84077.5969
AUS,L,2006,85381.02525
AUS,L,2007,89054.72714
AUS,L,2008,92823.3021
AUS,L,2009,96545.7447
AUS,L,2010,.
AUS,L,2011,.
AUS,M,1995,23449.26093
AUS,M,1996,23208.95334
AUS,M,1997,23083.97378
AUS,M,1998,23076.97737
AUS,M,1999,23628.4374
AUS,M,2000,24757.91322
AUS,M,2001,26360.22276
AUS,M,2002,28438.16627
AUS,M,2003,31186.75275
AUS,M,2004,34483.56669
AUS,M,2005,38628.05503
AUS,M,2006,43802.10785
AUS,M,2007,50864.09697
AUS,M,2008,57428.58853
AUS,M,2009,63444.94545
AUS,M,2010,.
AUS,M,2011,.
AUS,N,1995,18267.59517
AUS,N,1996,21121.07672
AUS,N,1997,24236.98427
